api_number,well_name,latitude,longitude,orig_operator,current_operator,elevation,elev_ref,total_depth,formation_at_td,producing_form,permit_issued,spud_date,comp_date,status
15-167-24114,DRISCOLL UNIT 1,38.7134509,-98.586366,"Mai Oil Operations, Inc.","Mai Oil Operations, Inc.",1811, KB,3385,ARBUCKLE,ARBUCKLE,17-Dec-21,3-Jan-22,20-Jan-22,OIL
15-067-21471-0002,REED B 1,37.4736559,-101.1060177,Pantera Energy Company,Pantera Energy Company,3035, KB,5709,,,,3-Jan-22,19-Feb-22,OTHER(WATER)
15-055-22548,FANSHER FARMS 44598,38.0809493,-100.8707954,"Raydon Exploration, Inc.","Raydon Exploration, Inc.",2867, KB,5000,,,6-Jan-22,15-Jan-22,1-Apr-22,OIL
15-063-22395,COBRA ROCK 2,38.8559943,-100.164348,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2443, KB,4370,MISSISSIPPIAN,,28-Dec-21,18-Jan-22,11-Feb-22,OIL
15-119-21465,STOLTZFUS 44684,37.1215111,-100.4676936,O'Brien Energy Resources Corp.,O'Brien Energy Resources Corp.,2510, KB,6250,,,15-Dec-21,24-Jan-22,26-Apr-22,GAS
15-075-20913,T. SPIKER 44568,37.8960613,-101.7477069,Plateau Operating Corporation,Plateau Operating Corporation,3429, KB,2610,CHASE,MORROW,15-Dec-21,19-Jan-22,24-Jan-22,GAS
15-101-22663,BORELL I 1,38.5303147,-100.3129024,"Blue Goose Drilling Company, Inc.","Blue Goose Drilling Company, Inc.",2705, KB,4666,,,15-Dec-21,7-Jan-22,19-Jan-22,D&A
15-135-26138,THE GREAT GATSBY 1,38.3934066,-100.0698883,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2415, KB,4555,MISSISSIPPIAN,MISSISSIPPIAN,15-Dec-21,29-Jan-22,4-Feb-22,D&A
15-035-24751,ANSTINE JARBOE 1,37.1053246,-96.8139552,"Raney Oil Company, LLC","Raney Oil Company, LLC",1124, KB,3215,,,9-Nov-21,23-Jan-22,21-Feb-22,OIL
15-141-20490,REGIER 2,39.3137055,-98.7049827,"Bruce Oil Company, L.L.C.","Bruce Oil Company, L.L.C.",1773, KB,3054,,,9-Nov-21,28-Jan-22,8-Mar-22,OIL
15-007-24380-0001,LONG HEIRS 1,37.1403954,-98.593093,"Briscoe Petroleum, LLC","Briscoe Petroleum, LLC",1552, KB,5233,,,,18-Jan-22,21-Jan-22,GAS
15-093-21994,MYRTLE 12420,38.0082138,-101.1560377,"Merit Energy Company, LLC","Merit Energy Company, LLC",3020, KB,5000,ST LOUIS,ST LOUIS,7-Dec-21,27-Jan-22,18-Feb-22,D&A
15-193-21102,PEGGY SADDLER 1,39.3396707,-100.8944864,Meridian Energy Inc.,Meridian Energy Inc.,3091, KB,4670,MISSISSIPPIAN,,28-Dec-21,17-Jan-22,30-Jan-22,D&A
15-081-22185-0102,EMMA WARD 1,37.663333,-101.0145307,"Merit Energy Company, LLC","Merit Energy Company, LLC",3045, KB,5535,,,,6-Jan-22,21-Jan-22,OIL
15-081-22193-0101,FLORA MEREDITH 44602,37.4480154,-100.9161239,"Merit Energy Company, LLC","Merit Energy Company, LLC",3050, KB,5721,,,,28-Jan-22,7-Feb-22,OIL
